x,y,z
-0.54962015,-0.2752738,1.3130121
-0.6045846,-0.47037506,1.3153372
-0.10346055,-0.008372784,1.036417
0.18508065,-0.46044874,0.54378796
0.029578805,0.1726613,-0.11779308
0.23498327,0.07832527,-0.8905659
0.2009548,-0.21189356,-1.2947345
0.15312773,-0.48957062,-1.3787212
0.0550977,-0.5401039,-1.3160195
0.1992175,-0.30429506,-1.0506434
0.08919197,-0.3678975,-0.68467
0.14595565,0.025034428,-0.4581089
0.110266805,0.08957195,-0.372869
0.046054125,-0.034611702,0.058628082
0.089233935,0.019220352,0.12026596
0.043319136,-0.35085106,0.33592653
-0.027438164,-0.86963844,0.771214
-0.075787395,-0.5718913,0.8613262
0.08174065,-0.15149021,0.27696896
0.17796174,-0.25784445,0.07612896
0.11236321,-0.34123373,0.04719019
-0.015428022,-0.18621159,0.40254784
0.07440197,0.08308697,0.61158943
0.15947437,0.22479153,0.2611723
0.17101662,0.18217373,-0.13317823
0.16308077,-0.03510523,-0.3273363
0.45986277,0.26100636,-0.6538596
0.59770536,-0.11642933,-0.22080469
0.62003624,-0.43000555,-0.0647006
0.5577136,-0.40544844,-0.05060196
0.24354732,-0.24876118,-0.055369377
-0.23639572,-0.042752743,-0.3694749
-0.62630296,0.1718359,-0.7222004
-0.9340705,0.42256212,-0.9387498
-1.0820085,0.40528154,-0.74943256
-1.0724932,0.43865824,-0.5685096
-1.1185012,0.752687,-0.4205413
-0.61470973,1.1559267,-0.71964025
0.06933713,0.9190707,-0.9570315
0.31252623,0.65103006,-0.568064
0.4375217,0.2971406,0.10838413
0.6646185,0.16105652,0.56582737
0.4192267,-0.4684677,0.9719806
0.527262,-1.5838776,1.8402376
0.5443067,-1.6434522,1.8933306
-0.8973948,-1.5160933,1.7296453
-1.6423383,-1.7395086,1.6923075
-1.4709437,-0.48044968,0.7475052
-0.581316,0.7559209,-0.45935822
0.7664485,0.9771867,-1.717485
1.4911119,-0.0028390884,-2.0308228
1.4814191,-0.08762503,-0.8783474
1.2990024,-0.12503338,0.10899973
0.9110406,-0.23018551,0.38541174
0.72250426,0.09171867,-0.102698326
0.5773244,0.3712864,-0.7475958
0.3158574,0.17020226,-0.96572924
0.31860268,0.13191462,-1.230983
0.423023,0.3234625,-1.2260637
0.6139674,0.86436796,-1.4205809
0.44503713,1.3193402,-2.1840365
-0.009375811,0.277431,-2.502564
-0.6296421,-2.3798347,-0.8033183
-1.0480646,-2.2095604,0.32097387
-1.1396418,-1.7650118,-0.46418703
-0.9837308,-2.122531,-1.9611456
-0.56063473,-1.2542238,-1.863452
-0.5288904,0.23618793,-1.419388
-1.0678594,0.54342747,0.19483948
-1.9169228,-0.5470638,0.6380142
-1.2360244,0.7531271,-0.10805249
-1.126627,1.3002443,-0.75102234
-1.2833915,2.765905,-0.83767796
-1.1646037,1.9203439,1.6994958
0.6812146,-0.28181744,0.72299254
0.01153326,2.6880822,-1.9797535
-3.9719734,-3.8479662,-1.1842988
-4.330245,-9.190981,-1.1134424
-1.9592428,-5.831661,-1.0159965
-15.885746,22.331976,14.700235
9.316179,-7.0615177,-4.580117
3.7589235,0.9677558,-3.285234
0.9377785,-0.08242464,-2.315538
0.35960865,0.83444405,0.25567138
0.7511263,-0.12484026,0.73823804
1.1809778,-0.05844593,0.12157822
1.5143089,0.73946476,-0.5841389
1.3782778,1.4186802,-0.5669172
1.0429883,0.86658335,-0.4854102
0.47750902,-0.9271097,0.44782054
-0.42529583,-2.3462887,1.9828492
0.09402752,-1.6732416,1.9723442
0.9014039,-1.7496777,0.46244538
0.27657032,-1.9487629,1.127998
0.566206,1.0772743,2.387517
2.6148367,-1.1125174,-1.095268
1.4681687,0.17824936,-1.7199439
-0.7106471,-1.4320002,4.948714
-0.6356244,-6.454174,1.5674667
0.023774147,-1.9349022,-0.44483447
-2.03652,-2.9575653,4.1865253
-0.78086233,-2.6405983,2.2074313
-2.3001919,-6.205639,3.4384422
-0.14516068,-1.4188137,0.40782452
-2.6288414,-6.8196106,3.7178516
-2.606429,-2.3296719,2.7854824
4.8349195,8.695668,-0.25063896
1.3383455,1.3636932,-0.03935814
5.9422092,9.436727,-4.501006
0.47335005,1.6770773,1.474122
5.2629642,12.030729,-13.696053
0.9763937,9.098647,-2.556638
-0.599407,5.3757057,-6.916517
-0.2610374,2.9868941,-2.577098
-4.057546,3.6017275,-2.5181508
-0.29533124,1.439362,-2.6305895
-1.3642776,-2.3088737,-2.8756976
-1.3787932,-0.46483612,-1.3577757
0.16719055,1.6577058,1.5811539
0.8486295,1.6278787,-2.3345814
1.7076625,-1.4711119,2.728857
-0.31220508,0.21076989,2.149461
2.0036206,-0.9576294,2.0422003
1.3727224,-0.6282056,-0.32794476
2.9425359,0.97241163,0.40916014
0.21456012,2.0841475,1.153655
7.4723864,12.305044,-12.96339
1.5292773,-1.0472918,-0.79754734
0.3106594,7.424817,-4.497446
5.3136024,3.800331,-13.972139
-17.234632,-22.469019,26.488953
-5.4725523,-3.7782636,10.278278
-47.630825,11.516548,-18.252647
-11.589069,-2.2092807,25.18978
19.097727,13.856853,-16.975986
53.862503,-59.038074,13.874176
10.156107,14.212332,8.694067
3.9624376,-1.2225418,5.093789
10.968147,8.910834,2.29315
2.3568592,17.694628,-0.6806536
-6.543789,-7.8796167,7.762129
1.8308067,-2.8058128,1.2657518
-2.7402172,-6.699045,7.5383644
-5.5859947,-1.6610456,5.039074
-3.0218797,3.2288723,-1.7365456
0.978879,1.2390425,0.81163406
-3.5765862,1.0488791,-6.5627937
-2.0484457,-0.48712778,-2.1944218
-3.7488773,2.893787,-6.8946214
-0.8639276,1.4934683,-3.3445525
-2.3380303,0.38887274,-5.626471
-1.5484372,0.123230934,-3.184159
1.2017059,0.8113018,-4.3470216
-0.8857807,0.295519,-2.1078868
11.099951,-1.2987206,-3.4881232
0.5932722,0.91869277,-0.6556734
0.04565525,2.3838062,3.04181
3.882928,1.5057163,-1.3093559
-1.4835548,-1.7362349,3.41105
-1.1042366,-1.9754015,1.9333086
-0.5488863,0.6633626,1.860959
-0.19039822,0.49656975,1.3350492
-1.603579,-0.31809545,-1.0057676
-0.49918365,0.925716,-0.28360367
