x,y,z
-0.05224037,-0.02836132,-0.032574043
0.029390097,0.009430885,-0.008589089
-0.646204,-0.044529915,0.32394513
0.023131847,-0.008579254,-0.0056632953
-1.8545885,0.22435284,0.8023596
-0.5050683,-0.13988781,0.19785863
-0.7951889,1.3309035,0.39937705
-0.8613472,0.20668507,0.4103626
0.35585308,1.5327911,-0.5709332
0.039274216,0.6515441,0.0069490075
0.034328938,1.2689404,-1.2075933
0.16140842,0.5976014,-0.10631397
-0.7287321,-0.25803185,-1.0272539
-0.16452742,0.14284992,-0.5946187
-0.70135784,-0.06486988,-0.08175957
-0.24813938,-0.33265114,-0.3373319
-0.79317665,0.24832249,-0.33541095
-0.21956253,0.54812765,-0.010868549
-0.97714996,-0.4919567,-0.62140393
-0.32811213,0.05902672,-0.24140501
-0.8213749,-1.6508055,0.04776299
-0.580843,-0.0804472,-0.038384676
0.6748133,-2.2487879,-0.9178908
-0.1626482,-0.7803402,0.29514837
1.3745646,-3.2483444,-2.7147927
0.30204868,-1.138114,-1.1168904
1.1908321,-1.8301096,-1.0748978
0.7268896,0.059158325,-0.16389179
-0.7422347,-2.375493,-1.7475042
-0.093490124,-1.7516918,-1.290019
0.013716221,-0.8146248,3.077129
-0.3696971,-0.6807184,0.06319523
2.1476357,2.3040733,6.4163
-0.41522646,0.89540195,3.539485
4.3633003,4.743948,0.6180598
0.5752902,2.6959586,1.8282486
4.5298834,6.9260025,-3.1601698
2.2203212,3.528591,-0.47642908
0.26872408,1.8767583,0.18695019
1.4238636,1.4340334,-1.4555451
-1.1634468,2.4745872,5.6465683
-1.8677739,4.7831554,-0.3915999
0.86861813,0.70609117,-1.1133027
1.7097294,-2.6509871,1.3162372
-0.7736336,7.592105,-9.258458
0.22351813,-0.94842815,-0.6757908
-3.3275833,2.0101557,-1.8989072
-0.48550713,6.654109,-7.3521185
-11.589905,-8.143719,24.676289
-3.196084,-2.1428046,4.099927
-5.4379807,-1.7759192,16.713352
-4.056448,-10.387018,12.968929
-11.987526,8.259949,-22.086712
3.6393394,14.234937,-12.062309
2.9512863,-8.305638,3.6573687
-3.6228218,-11.719046,-0.9169307
7.998297,3.5414863,0.510283
1.7463417,-0.8118175,3.8293943
3.241413,-0.73561597,-1.2266812
2.5158043,0.30454403,-0.43571377
1.6576157,-1.395608,2.9496765
1.5910463,0.12271863,-0.62209606
-1.3690367,-2.937005,2.2251377
-0.49770737,-0.25085998,2.6790323
0.5119686,-1.6867104,-1.0987015
-0.13202667,-1.8441067,-1.3206825
-2.7384214,1.3817592,1.7244129
-0.5068388,1.5937756,-0.008816719
6.5632625,-2.400053,-13.400914
2.7356193,4.2529545,-5.09216
4.3311715,-2.8556414,-5.034906
1.3453887,-5.5112333,-4.9293103
0.18377686,7.975705,-5.7550526
2.5830703,1.1756622,1.9111533
