x,y,z
-0.07013309,0.2508223,0.41144943
-0.08625686,0.1176219,0.024289131
-0.15020633,0.06455183,-0.15913582
-0.12524545,-0.12723851,0.026865005
-0.07249558,-0.28829145,0.17042351
0.011829853,-0.08644009,0.22858906
0.28491533,-0.40774822,-0.170887
0.37234962,-0.28700733,-0.2472744
-0.14017165,0.918031,-0.62713575
-0.77004623,0.62891173,1.2182636
-0.8820312,0.14354658,1.5182533
-0.17529845,0.8411591,0.39247704
-0.55349064,-0.49748516,0.979023
-0.24084449,0.05089116,0.32011604
0.30248165,0.33902812,-0.7604675
0.29012275,-0.1231904,-1.3447819
0.4446354,-0.40675163,-1.5578513
0.49142587,-0.6817002,-1.3019505
0.3911271,-0.75347185,-0.9343796
0.17370689,-0.16503859,-0.7083273
0.48351872,-0.9024153,-0.5146208
0.10412526,-0.5499644,-0.3308897
0.3577751,-0.4883504,-0.34507942
0.23970199,-0.23592949,-0.41391897
0.0155034065,-0.8328638,-0.36910486
0.07121372,-0.23730135,0.39813995
-0.2149123,-1.3731079,0.7773204
-0.04713869,-0.7592702,0.81007195
0.13838303,-0.70198536,0.3483615
-0.07998657,-0.23321772,0.3930354
0.52341706,-1.1927481,-0.04572153
0.21240377,-0.2653637,-0.18402338
0.42247653,0.10291481,0.53191566
0.14320502,-0.9500418,0.27453804
0.20044377,0.20715141,-1.3198104
-0.3114829,0.26895046,-0.9090352
-0.4613706,0.55979824,-0.43621492
-0.033255696,1.1565933,-0.3864379
-0.14080215,0.97925663,-0.9720931
-0.4027003,0.38768673,-0.7477875
0.7719701,-0.44907188,0.1021533
0.8326968,0.019052505,0.12513733
1.1504384,0.29566765,-0.41330957
0.95386565,0.6014128,-0.8268678
0.55377936,0.27304745,-0.9996083
-0.13897824,-0.07960987,-0.36700177
-0.7846054,-0.33748865,0.6124749
0.19351178,0.0705452,0.80570173
-0.88133407,-0.05444956,0.3241129
-0.5134883,0.70677996,-0.39016008
-0.7193663,-1.7158499,0.26055002
-0.14014602,1.0700455,-0.34350014
-0.18929225,-2.654029,1.4135804
-0.12114698,-1.6985788,0.9046917
-1.216025,-0.2795744,0.79811954
0.36023486,-0.9864435,0.29167938
-1.1086702,-0.1348629,-0.26535082
-1.1508482,-1.5695677,-0.8838711
0.20887947,2.6361961,-1.0529451
