x,y,z
-0.5513555,0.3108356,0.46625328
-0.6715839,-0.03703785,-0.6179066
-0.5600581,0.020731688,0.87480736
-0.21440196,-0.16907406,1.0701284
0.16617608,-0.094417095,-0.20691013
0.42660093,0.2031269,-0.8525977
0.38641417,-0.043147564,-0.4200158
0.2825477,-0.10882568,-0.22284222
0.16550767,-0.3745737,-0.016971588
0.18713617,-0.53086233,-0.007797241
0.21936595,-0.30910635,-0.27620506
0.15418482,-0.34645987,-0.16910982
0.0940814,-0.2140727,-0.21702242
-0.066967845,-0.16152334,0.12619162
-0.15011954,-0.42055893,0.33052635
-0.14051294,-0.3687563,0.24065018
-0.10984802,0.027549744,0.063611984
-0.06417346,-0.009949684,-0.13856697
-0.028812766,0.20355606,-0.21586323
-0.05215037,0.2543912,-0.27452612
-0.011924267,-0.027193546,-0.18642282
0.01382041,0.1434865,-0.0855999
0.10537946,0.004491329,-0.2953534
0.15018642,-0.105917454,-0.27483463
0.053215265,0.024150372,-0.19428158
-0.2034471,-0.34309912,-0.11054945
-0.22367573,-0.35902214,0.12691355
-0.20137954,-0.10412598,0.05670786
-0.06759143,-0.075834274,-0.18742132
-0.12753439,-0.024017334,-0.1889019
-0.3543694,0.02140379,-0.051944256
-0.56390023,0.101038456,0.24256706
-0.52331877,0.015631676,0.19661474
-0.21080852,0.24138021,-0.068766594
0.062747955,0.4624734,-0.3765173
0.1979847,0.42009878,-0.5704131
0.17727566,0.31329966,-0.6424084
0.12877941,0.49777603,-0.51074076
0.19887304,0.40898204,-0.26558256
0.046067238,0.27094245,-0.06118059
-0.3060882,-0.123860836,0.5385175
-0.6892936,-0.525167,1.4034634
-1.2088246,-1.2294316,2.1148539
-1.3206749,-0.7944975,1.3090696
-1.2145133,-0.55138254,0.28005123
-0.50913763,0.2569661,-0.6819134
0.015852451,1.1068163,-0.9543381
0.52499485,1.4913619,-1.3294201
0.80640936,1.0019724,-1.053091
1.030951,0.2535932,-0.80422306
0.7180357,-0.5640054,-0.07033825
0.46567202,-0.5969362,0.55257607
0.35319257,-0.64252806,0.6616392
0.089669466,-0.9613099,0.33764124
0.07117939,-0.71177197,0.3294797
0.11910486,-0.20730352,0.47135592
0.19268107,0.24580145,0.087147236
0.20912433,0.5848222,-0.26753807
0.5628805,0.53211164,-1.1350341
0.60541,1.1695204,-2.252582
0.81037414,0.6657493,-2.1127954
0.56920505,0.22534943,-1.1821053
-0.057088137,0.29132342,-0.309119
-0.8302622,-0.13993049,0.60201883
-1.841475,-0.34697986,0.34392023
-2.3063087,-2.2477536,1.1073046
-2.0828242,-2.2491436,1.1116672
-2.086894,-0.92766714,0.82945347
-1.4581952,-0.088051796,0.36842728
-1.2151861,0.5014005,-0.5043025
0.35770702,0.7100978,-1.2957573
1.1529031,0.4268818,-0.9579971
1.8273149,-0.20487022,-0.7540884
2.1363554,-0.6367717,-0.33551693
2.064459,-1.1093225,0.08406496
1.5173869,-1.3382049,0.04307556
1.4415402,-2.1972036,-0.5485723
1.7638127,-1.7172651,-0.28979468
1.51038,-0.95961094,0.37534928
0.15912694,-0.42874432,0.3582096
-1.0060037,-2.1529818,1.1041913
-1.3395017,-3.495533,0.65305233
-1.8624625,-1.3530102,-0.58109903
-3.0858855,1.6669474,0.13068771
-1.7328653,3.0036583,1.5791545
-0.5604749,3.4914064,-0.25960827
0.025901318,4.5237403,-2.1213505
-0.3756895,4.142477,-1.2320166
-2.7334757,1.8927023,2.5365763
1.5618525,4.8673716,1.8057508
-0.060758114,-6.6685486,1.8651304
-0.022029877,-2.032261,-1.4142728
-1.2659793,5.8888535,5.0661955
-0.09005165,-4.8763094,-1.9827414
0.7161727,-4.50756,-3.6685197
0.23616886,-0.7335043,-3.159966
-0.066437244,3.0042562,-2.0392334
-0.50527143,2.18781,-1.3847884
-0.044497013,1.0401111,-2.7096887
0.4495964,0.045094013,-2.943177
0.92057705,0.64024353,-4.028838
1.8180652,-2.284008,-3.0151591
1.5742149,-2.1053271,-1.7121172
0.90176964,-1.0210314,0.13160801
0.35035372,-1.3077478,2.0271714
0.7068975,-1.6843147,2.2933779
0.6470156,-2.6041212,4.5752444
0.41409016,-1.6666374,2.9281564
0.18533874,-1.9369888,0.37544143
0.13393974,1.6946611,0.624887
2.0455194,4.9245,0.07048559
1.6799464,-0.64533234,2.6637926
0.9234692,-3.9602613,-0.5736866
-0.3789187,-4.4238806,-1.0658832
0.3841983,-1.7265024,0.7382667
0.6917831,-5.666586,0.69007564
-0.63445807,-4.397354,1.8544192
-2.5114186,-6.914713,2.853959
-3.4506516,-6.601269,1.5752382
-4.7719364,-6.56155,2.1972094
-4.5296345,-7.665432,1.8812237
-3.4061537,-3.1973724,0.43783855
-1.0062056,1.1393089,0.6648207
1.3495378,3.7477684,1.0138836
2.4205098,8.432726,-0.095807076
2.6018085,12.37499,-0.97762585
5.060711,12.755899,-7.4014626
1.2361534,11.661992,-4.991297
1.0179172,8.603699,-7.932267
0.7709856,6.75978,-4.8866477
-0.6389308,2.6637254,-4.950879
-0.8042464,0.6459725,-3.7676878
-1.705306,4.346809,-0.6920929
-2.308033,3.2002726,-0.021558762
-0.3355856,0.47298145,-2.3275547
0.27862215,-2.263876,-0.44308186
1.0747075,-2.2640586,1.6884842
1.4754095,-1.0368118,2.3983984
1.2430582,-1.2963951,3.5284834
1.4866195,-0.46960497,2.1662922
2.2048492,-0.07223612,-0.07844162
1.604172,1.0815337,0.17810869
2.6677518,1.7417996,-0.123515606
3.4296541,2.7803497,-0.6797075
4.395346,8.181327,-11.524191
3.378437,14.380753,-13.460201
3.3160133,0.2566452,2.1804466
-4.68418,-7.0099244,9.493633
-14.673918,-14.568814,16.907677
-22.587381,-13.211459,15.928034
-22.221565,28.83139,-11.992073
-19.362629,-44.002483,15.520865
22.14725,-25.712992,-3.0941682
12.176134,26.263908,-2.1534166
15.132391,3.2803202,8.823793
0.5078516,20.57728,5.371416
6.8265276,15.694672,-1.8410301
12.618822,-1.3770933,0.13337994
19.503859,-7.854788,-1.4959593
15.263575,-6.395398,-1.8798518
6.0467567,-2.4872162,1.4140444
-5.265585,-3.3478217,3.1651144
-1.2692051,-4.427249,1.3821125
0.27410316,-1.6428504,1.3748846
-3.5756187,0.68312716,0.74661636
-5.6670933,-1.753972,-0.27758408
-5.3216515,-5.1432686,-1.7329283
-5.330411,0.26321936,-3.4749293
-3.6382422,2.6768174,-4.793604
-2.98736,2.7306032,-5.421502
-1.8628774,1.4058857,-5.552142
-0.5578737,1.0805769,-3.7203908
1.0450053,-0.2124815,-1.8033772
3.4928122,-0.6768861,-0.20260978
6.3266125,0.055593014,-0.06837869
2.2056875,3.0817702,-0.38852763
-1.0384903,1.8895893,1.7218659
-1.7770758,-1.4139419,3.4019601
-1.0070839,-1.2190421,3.24526
-0.46065903,1.5948613,2.1780977
0.14034748,1.9814565,1.6973758
-1.8822341,0.7823965,1.858594
-6.805146,-1.1296217,1.1374025
-10.220897,-2.3150065,-2.9250398
-9.449659,-0.67561984,-7.359153
-8.219035,2.2092698,-5.682862
-1.789546,2.9860616,0.023607254
1.2603855,2.4795585,4.3514867
3.172501,1.1394892,-1.2403718
4.478999,-0.40462077,-3.7894633
4.4938507,2.235609,-4.142953
6.4263787,2.8328347,-5.624131
10.297201,8.758881,-6.363693
7.8849926,12.45042,-6.731285
-4.5702505,1.1342602,-4.125679
-13.156055,-8.86314,6.6406407
-12.696495,-6.9396133,7.7650814
-12.940208,-12.2514305,8.230364
-11.162437,-18.156286,7.556673
-3.5200958,-11.10977,0.8186087
-2.7370644,-10.030798,6.020231
-4.4684715,-8.993954,14.471711
-0.9383297,-1.2512016,12.429138
3.1627712,-0.7195587,2.8521252
2.9910488,2.6301098,-4.050967
1.964838,3.2063637,-1.1829138
2.1799355,0.48607445,2.4622746
4.6941767,3.6744614,-4.772418
3.9006605,2.1432648,-5.070841
3.320795,-1.4002209,-3.133481
4.354789,1.9048824,-2.1755114
3.5654678,3.2616663,-3.398094
2.6052122,2.9715986,-2.9485857
1.679594,2.490222,-1.5622494
1.3829298,2.1484318,-0.50644255
0.8007989,2.027752,-0.15097475
0.46194553,1.8876925,-0.49961615
-0.072104454,2.0141072,-0.9418638
-0.59777164,1.8100076,-0.9812684
-0.45765495,1.9322114,-0.39663625
-0.5104847,1.7775135,-0.13126421
-1.0116434,1.6310058,-0.28014207
-1.3216591,1.4361095,-0.3248582
-1.8096714,0.7337034,-0.4959798
-2.0269976,0.33472872,-0.59477127
-1.9791479,0.22648478,-0.17226231
-1.8274717,0.6322179,0.6053312
-0.7681227,1.0297933,-0.18413186
-0.13610649,0.633019,-0.90237653
0.95178413,1.9113724,-0.87478507
1.5974684,2.8398435,-0.7651892
2.691043,2.3093648,0.17529237
2.0394516,0.73483336,0.40791887
1.3052492,0.47029352,0.26106805
0.24389553,-0.089746,0.43983114
-1.3118391,1.0703273,-0.39884442
-0.33392143,0.6129918,-0.46671632
0.84356976,-0.7293209,-0.3645869
1.5986967,-1.3754127,0.09457427
1.9839115,-1.1346242,0.44513214
2.0312514,-0.88704985,0.7185224
1.8087211,-0.7822324,0.6805041
1.5621061,-0.814748,0.009546161
1.1621706,-0.9091079,-0.01687479
0.56144667,-1.6130595,-0.5501656
0.5125549,-0.14822721,0.2270993
-0.9667492,-1.7298179,-0.43079716
0.1704092,-0.7040911,-0.4779723
-2.3609886,-2.1744437,0.8785572
-0.6223049,-0.8308263,-0.10273683
-2.4898496,-1.8372393,1.6687999
-0.8411503,-0.41122103,0.20075631
-1.8438463,-2.707182,2.2890117
-1.4053087,-1.3280725,1.1278644
0.27280426,-1.1610212,1.4466062
-0.064442635,-0.96676826,0.6454191
0.20239162,-0.03952694,1.303328
0.022271156,0.0053491592,0.49855852
1.111373,0.52133656,0.5765023
0.37417412,0.29994488,0.6386442
-1.9302492,0.43559837,-0.27160406
0.29539776,0.09184456,-0.0068073273
-4.361845,1.1482372,-0.47630167
-1.1842089,0.19090939,-0.25426722
-4.299015,2.4941654,-1.4483218
-2.515398,0.56043863,-0.27417088
1.5773067,1.7316117,-1.4518664
-0.7924957,1.4575937,-1.0042765
2.984889,0.99415135,-1.2908952
0.99555206,0.17044115,-0.5227797
3.8488312,1.6153227,-1.5343614
1.2818575,0.70436406,-0.38133383
4.4090104,2.6465633,-2.5945852
1.9744105,0.24578738,-0.7105153
3.1299517,2.43735,-2.5554981
1.4561417,2.2524986,-1.3275287
2.3922024,0.8654587,-0.51711154
1.4022974,0.12791705,-0.6649904
0.14664865,0.6028452,0.88298106
0.42789412,0.39195013,0.1483252
-0.6041496,0.17116928,0.7415541
0.0010137558,0.28729367,0.3841896
-3.810154,-0.5317111,0.23821986
-0.36990833,0.084148884,0.6014215
-10.67776,-10.229338,4.368861
-2.100525,-0.07591891,0.108436346
-8.30246,-15.469546,7.047444
-5.7226963,-8.821779,2.967349
4.0341635,1.6875973,1.0931196
-1.3162804,-3.760439,2.2257566
8.121471,8.489427,-1.7182417
2.8380165,3.2665768,-0.50821114
7.4612837,5.944316,-3.2841055
2.9992986,3.1516078,-0.9893861
5.734951,2.7893023,-2.3478386
2.8766432,1.6150696,-1.3846307
3.3304367,1.7155131,-1.7902145
1.8863133,0.43751192,-0.7212931
1.6577334,0.9634086,-1.0040579
1.12837,0.96134657,-0.7069532
0.09391856,-0.84041286,0.063931346
0.378824,0.28497493,-0.27780014
-1.5288787,-2.131373,0.57762647
-0.06370616,-0.021793365,-0.05016625
-4.2790837,-8.859853,2.0717266
-0.3742915,-1.1301336,-0.051623106
-11.966154,-14.841799,4.4044704
-3.698904,-4.207756,2.3744974
-2.4285898,-0.8388958,1.041604
-3.7945042,-4.614311,2.2448845
2.971305,6.600662,-2.5441613
0.60225487,2.3504353,-0.7977629
3.6614776,6.8243866,-2.6573052
1.3688097,3.0345163,-1.1597774
3.6709337,5.754426,-2.2040613
1.6813197,2.6316829,-0.93558955
3.1139894,4.074648,-1.3526636
1.3662468,2.1618786,-0.71554047
1.796836,2.4332206,-0.81956613
1.2250572,1.3243532,-0.52758694
-0.57510376,0.5212085,0.36872965
0.46703112,0.67067724,-0.25894246
-2.397929,-0.36449242,0.7643764
-0.58925176,0.1911689,0.25476062
-5.7186804,-0.5058905,1.0533068
-0.9232874,0.027124286,0.9606545
-4.801635,-4.1535316,1.2108796
-3.1067562,-0.25409865,-0.009569168
0.21817303,-3.7359214,3.8782282
-0.6065941,-1.977272,0.79348373
2.3515124,-2.8391151,1.8853574
0.47220516,-1.5381575,1.8256736
3.1492047,-1.862422,-0.7821722
1.2478137,-1.4555025,0.3099904
4.4086742,1.5492544,-2.1061687
1.3566833,-0.171484,-0.6630144
3.5896227,1.814806,-1.1966031
1.9939654,0.99292374,-0.9022002
0.76435333,0.8714433,-0.27861166
0.99177694,0.26658916,-0.21048975
-0.18197286,1.7396808,-0.9820695
-0.18081877,0.24918461,-0.20254827
-0.091207385,1.3914385,-0.6643996
0.07953328,1.3731914,-0.6596563
-0.33983243,-1.5590296,0.3684814
-0.042811796,0.13151741,0.41204166
-0.8318513,-4.077526,-0.0013792515
-0.24737912,-1.1278934,0.09565139
-2.1533632,-7.589573,1.8187528
-0.103287816,-1.1170073,-0.049571037
-4.8958797,-6.1299934,2.2038846
-2.3028622,-5.6929913,1.2633862
-1.608674,2.9897652,1.4475317
-1.6639194,-0.9488659,0.7701273
0.9990854,6.064311,-1.8224082
0.05867672,2.4362106,0.09320021
1.4779048,5.245863,-1.1753769
0.550529,2.054906,-0.97748756
2.145117,4.3077006,-2.3279653
0.64044046,0.6883373,-0.50923276
2.3191142,4.7110257,-1.6957755
1.2022921,2.477223,-0.7895645
-2.1694636,2.8710134,-3.9269228
0.9789299,0.36338663,0.17133981
-3.591877,3.2435157,-5.385132
-0.44779634,0.53896403,-0.63626575
2.8500066,11.729845,-14.613062
0.6104312,9.063908,-10.886181
-17.17089,3.5269833,24.590338
-2.9295282,-1.8860407,-8.2654915
-9.596104,-11.841153,30.315887
-16.000256,-19.845844,11.29636
6.1813793,6.5687265,-10.754807
2.7088013,5.271991,9.1201515
4.3293304,-9.095695,-4.5903316
-2.6596603,-13.655839,-6.17554
9.837486,3.9062452,2.5338354
4.5583763,-0.6120825,-0.18338203
4.955305,7.933194,0.071107864
2.8664694,3.5357618,1.8428841
2.7309294,-1.3119426,-0.5597029
1.0873775,1.4174184,-0.4011135
3.7359834,0.13640618,-1.7169847
1.191247,-0.3831129,-1.7531576
-1.3383694,0.5424044,5.3427076
1.0358205,-1.9865379,1.8119602
0.6046977,-2.0405936,-2.0535564
-1.2142358,2.1523964,1.7211895
2.2721443,-4.4252453,-4.7395253
1.0082762,-2.2100477,-1.850369
3.7389886,1.2946572,-10.391762
2.3316612,-6.774637,-3.3409832
3.0107617,6.152751,-9.091758
1.4763947,-2.2450266,-3.6934395
-1.548142,1.4898548,-0.3917446
0.21663302,4.243332,-1.6098576
-2.204225,-0.6078024,0.78392124
-0.70431876,-0.19898939,0.85107136
-6.774521,-0.73873615,-2.1230288
-0.40843678,0.24278784,-0.33823395
-5.5998945,-1.424406,-0.30381012
-4.1600733,-0.0014400482,-0.40436172
0.26882172,3.825204,8.810827
-0.51135445,-3.4680376,-1.0020113
-0.20315075,-2.4739037,3.059191
2.3063226,6.6374326,3.827275
0.91982603,-2.3470154,-2.3404799
0.07537174,-3.4833398,-2.3421981
0.34703445,0.13651752,-2.00313
0.51630163,0.97763157,0.23802757
0.8299589,-0.20175219,-1.4626951
0.38713884,-1.2584181,-0.32933855
-0.9964504,0.6058512,-1.9453278
0.2632575,0.3509698,-0.63362646
-1.3607397,1.079638,-0.31971312
-0.7314348,-0.04912758,-0.84204865
-1.6510448,0.022188663,1.079186
-0.43455887,1.0209146,-0.54434586
0.7439184,1.2923493,3.2065296
-0.7650461,-0.17654562,2.544044
-0.19849491,0.7634802,2.215055
0.30813313,0.7460518,-0.5299041
1.2575502,0.31811523,1.778485
-0.04865265,-1.3271632,2.9080243
0.63694,0.95411944,-0.7805308
0.58998394,0.31950188,-0.7676904
0.3071041,-1.3247437,2.2560725
-0.036361694,0.7488098,0.6547575
3.3401034,1.9517679,0.0114558935
0.7432833,2.6971447,1.3296974
1.8516972,-1.7459946,2.9027414
0.6855607,-2.298832,1.2724199
2.3893628,-5.6620626,3.1633482
2.2033997,0.24530983,-0.70752907
0.3498317,-6.8961287,7.7234764
0.30357122,-2.9838963,3.8995361
-0.99323845,-8.095545,2.2198906
0.13813329,-1.7120476,-1.2040815
-4.9053254,-11.486164,3.907467
-1.6883302,-3.2400112,5.130186
-7.1483965,-10.936367,4.985691
-0.522069,-3.747757,-1.7615147
-4.411545,-0.12617874,-4.2685633
-4.446082,-4.5856857,4.574074
2.7994614,8.684511,-1.5560703
0.14751053,1.6538181,-2.883665
6.4135666,18.750252,-8.538584
0.8807478,3.791688,1.8290033
2.8958225,12.153652,-9.24594
3.3733575,9.716683,-4.1123657
0.6389184,4.013714,-11.154507
-0.6299839,2.7097473,-2.157412
0.030448437,6.573208,-9.5647
1.3602405,-0.3823531,-6.774164
-0.4701991,2.2192152,-2.1274357
-1.103847,3.9638977,-1.3477678
0.45501328,-0.40969753,3.283803
1.4802647,0.17909288,-1.1713343
0.68994474,-0.115223885,3.7721305
0.49519444,-0.009387016,2.8110266
1.9365541,-0.36762786,-0.48558617
2.1710262,-0.41915655,1.7118464
2.5356092,-0.084385395,1.3116345
1.1768938,-0.17965412,0.35677528
1.7277479,6.948874,-12.089735
2.9107952,-2.6456869,4.1837792
5.7748427,15.3642025,-9.245123
5.1822205,8.608791,-12.404591
0.6826153,-24.241299,22.63023
-9.461714,0.9209013,8.05846
-18.365908,21.312054,-32.932228
-31.32611,-14.327627,33.32883
-23.91468,18.79766,-33.075005
25.119455,-62.970455,16.578405
1.919632,-4.59569,25.706291
11.770714,16.396246,0.29863507
8.435776,11.707171,8.48081
6.180364,6.8076563,3.8509932
5.7022433,-2.4832387,3.1066656
2.4956222,3.310988,3.0915146
-1.4888325,-8.170289,-12.452529
0.28830147,-3.6875029,0.4181316
0.28717613,26.701393,-23.63917
-1.7637467,-0.733161,-8.626034
5.498353,17.35283,-1.7435703
5.1018004,8.658747,4.674636
-6.8985214,-4.8963547,3.551053
-8.143114,-9.276615,-5.4224815
-44.353916,-25.223957,26.48893
-23.780449,-10.434025,11.234411
-21.193882,-4.8758035,1.359664
-12.270836,-8.098921,0.31702805
0.039482117,-0.21562862,4.6756496
-6.905281,0.8196783,7.2506475
6.790848,0.6793566,2.8323135
0.066459656,-0.6776533,-0.63744926
19.274292,5.02738,5.616995
6.2492943,5.7488656,2.5621128
20.013502,3.116924,5.2605515
7.6218452,-1.002326,1.8145447
19.004152,-0.9065747,2.920374
8.036203,2.8153448,2.3164673
11.615561,-6.65948,-4.05822
6.911448,-2.0233927,0.6098194
3.1591876,-3.372755,-9.005714
3.3074708,-3.1652775,-2.8063393
-1.8549118,1.3330002,-6.708576
0.23175669,-0.22407913,-3.6376686
-5.3449326,2.9640713,-3.8481388
-1.0058689,1.4603033,-2.2207074
-5.404579,1.9581637,-2.6639395
-1.892931,1.1980624,-1.0628924
-4.6269493,0.5614333,-1.7467246
-2.9106827,0.49722338,-0.97999763
-1.7233982,-0.11081791,-2.4582844
-0.77506447,-0.009632111,-0.75812435
-6.1808357,-0.098101616,-2.0680542
-0.03154373,-0.015284061,-0.6815257
-6.952263,0.6199889,-2.077258
-5.7718124,0.47034264,-1.6037248
6.81448,0.57989645,1.7271396
0.9335365,0.057014465,0.049622178
9.935232,-0.22859669,2.340918
3.9835005,0.5891969,0.6247828
8.2602825,1.166215,0.78599787
4.285996,-0.06726766,0.8753848
3.7666068,3.0077367,-1.4087453
2.3432078,0.0034610033,0.23689365
1.888855,4.2022195,-2.3015828
0.9667649,2.3339293,-1.6507584
0.7796192,1.112175,1.563729
0.76404285,1.2496254,-0.6847315
-1.6179099,0.21902275,1.5169728
0.19649792,-0.1770091,1.4428074
0.12116146,0.5302756,-0.33001566
-0.8479595,0.2704234,0.08605385
-0.020183086,-1.5522865,0.042815924
0.16789341,-0.10780048,-0.47978544
-1.1183796,-1.3469217,0.825299
-0.09518576,-0.8421102,0.38415623
-3.3844547,-0.5818546,0.10795379
-0.63835907,-0.25133616,0.39393568
-5.1157417,-0.6282033,-0.5814464
-1.5119429,-0.25341812,-0.40277147
-8.331825,-0.29089987,0.43328857
-2.0716572,-0.104964584,0.13020492
-7.943815,-1.8385036,-2.3361533
-4.402174,-0.028957725,0.19497657
-0.5342808,-5.162428,-3.1114097
-2.2235909,-1.3778663,-2.1475956
6.5310135,-2.4432364,1.8065709
1.3895512,-2.650065,-1.0104514
8.172281,-0.031975746,1.4571441
3.0666676,0.008648872,2.140016
6.69744,0.73643684,-0.815434
3.2428737,-0.14159584,-0.31961554
3.1327186,1.735867,-1.6495026
2.254703,0.49957132,-0.5638169
0.3366971,1.1977272,-0.73931825
0.46984625,0.8002553,-0.64937687
0.2976365,0.49684,1.2331419
-0.05621147,0.16321683,0.09814846
1.1837273,0.0033278465,0.6221006
0.44193363,0.1599555,0.24951231
0.043800354,-0.15964985,1.685848
0.34061956,-0.04394865,0.5058665
-0.35814428,0.35954213,1.5005527
-0.1725173,0.11671758,0.7243812
-0.06291008,-0.28998566,2.1950903
-0.121474266,0.46716404,0.6371808
-0.87453365,0.8689964,2.3767877
0.1895876,-0.38466763,0.92508364
-2.3471818,2.251444,1.9052253
-1.0961409,0.6426017,1.3465242
-2.3701925,1.8393586,-1.1409264
-0.6496477,1.0668646,0.32708645
-2.8705015,-0.93223935,-1.2723885
-1.2885618,0.14346245,-0.90013695
0.53446007,-1.8281423,-0.3155985
-0.8546629,-0.6444359,-0.06254482
1.466444,-1.9340024,-0.45987654
1.1178026,-0.8991256,-0.5379548
-1.1831121,-1.0902896,-0.4622774
0.28629684,-0.7851262,0.22205639
-2.4170637,0.82907844,-2.004621
-0.99069977,-0.26464748,-0.47390866
0.17346859,1.8701023,-1.0679138
-0.7669811,0.775486,-0.7738695
2.3959646,1.7006903,-0.22406149
0.4960575,0.8555339,-0.2767086
3.1200337,0.124629855,-0.19854546
1.1601915,0.5915477,-0.047390223
1.9469023,-0.06577337,-0.3061421
1.0422225,0.022261262,-0.06721854
1.3167138,0.41723925,-0.41383386
0.6741452,-0.028698683,-0.08251119
0.12959146,0.612936,-0.12176013
0.26221657,0.07049838,0.07683468
0.2781434,1.4134532,-0.7751974
0.17341518,0.46790767,-0.21878195
-1.314043,0.52777195,-0.24421608
-0.030405998,0.512455,-0.22678351
-1.5900555,-0.4918035,0.043330073
-0.59778786,0.0805763,-0.03662491
-3.0319128,-1.2217635,-0.20424998
-0.82645035,-0.33143565,0.122107744
-2.703247,-1.6708581,-0.36008567
-1.5891075,-0.29860777,-0.38061923
-0.895978,-1.5946858,1.7315245
-0.7036705,-0.85664415,0.13670444
-0.53615665,-0.11155009,0.7984731
-0.11329651,-0.57551503,1.0948253
1.2912283,0.38096,-0.9771687
-0.45920467,0.1319573,-0.2944138
3.7130451,0.40776575,-0.29721725
1.1566467,0.24717939,-0.5043384
3.3022408,-0.077777624,-0.034706235
1.4223719,0.1877271,0.57231617
2.3705893,-1.1210089,-0.32324767
1.4512892,-0.54429746,-0.89487624
1.1218934,-0.7023096,-0.13295388
0.59083176,-0.26866794,0.1631403
0.73975277,-0.8231702,0.21473455
0.48570013,-0.34755135,-0.20733488
-1.3838634,-1.2260823,1.093137
0.061282158,-0.24685907,0.2675023
-2.7832565,-2.235774,0.97105646
-1.0794954,-0.89152956,0.5050223
-1.4478283,-0.51388407,-0.13034344
-1.1870985,-0.5694556,0.18779516
-1.1535416,0.59169674,-0.14489698
-0.22035313,0.21319914,-0.26588297
-0.023040771,0.7371049,-0.2575059
